conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file
1.94E+18,Fri Jun 20 15:13:56 +0000 2025,0,@AskPerplexity berapa iup 2000 berapa tau coba info data terkait raja Ampat dan banyak nya dari seluruh data yang di lakukan oleh pemerintah dengan jabatan dan kinerja bagaimana bisa terjadi banyak pengundulan hutan hingga tanah tambang sampai banyak tanpa izin dan tanpa syarat,1.94E+18,,AskPerplexity,in,,0,0,0,https://x.com/undefined/status/1936080081384096120,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:13:47 +0000 2025,59,@e100ss Kayaknya KPK juga sengaja manggil khofifah bertepatan dengan wisuda anaknya biar keliatan kerja #JokowiAlumniPasarPramuka #jokowibapakperusakpapua #SaveRajaAmpat,1.94E+18,,e100ss,in,,0,1,5,https://x.com/undefined/status/1936080042100240771,1.60E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:13:41 +0000 2025,0,@grok berapa iup 2000 berapa tau coba info data terkait raja Ampat dan banyak nya dari seluruh data yang di lakukan oleh pemerintah dengan jabatan dan kinerja bagaimana bisa terjadi banyak pengundulan hutan hingga tanah tambang sampai banyak tanpa izin dan tanpa syarat prasyarat,1.94E+18,,grok,in,,0,1,0,https://x.com/undefined/status/1936080018318541047,1.72E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:01:08 +0000 2025,1,@ogiehart kata papah suruh kelola tambang raja ampat aja ,1.94E+18,,ogiehart,in,,0,0,0,https://x.com/undefined/status/1936076859755901106,1.52E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 15:00:06 +0000 2025,1,Memang bukan nyai sembarang nyai. Dia hadapi aku siswa H.B.S tanpa merasa rendah diri. Dia punya keberanian nyatakan pendapat. Dan dia sadar akan kekuatan pribadinya. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936076600610881724,1.89E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:38:41 +0000 2025,0,@STresnowati1 @prabowo akankaH Sang Presiden terbuka hatinya utk berpihak % ke Rakyat Indonesia atau tetap mempertahankan dua orang ini setelah kasus2 4 pulau Aceh #saverajaampat dan kasus 11 8 trilliun atau orang no.1 NKRI akan always manfaatkan dua orang ini,1.94E+18,,STresnowati1,in,,0,0,0,https://x.com/undefined/status/1936071210426945783,379203986,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:33:51 +0000 2025,0,@Paduka_Ratu92 Kayaknya KALAU gue nikah raja ampat udah jadi tambang ,1.94E+18,,Paduka_Ratu92,in,,0,1,0,https://x.com/undefined/status/1936069994955391097,1.61E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:32:02 +0000 2025,5,@SwaraFandom Terima kasih min tweet kita bukan hanya berisi kata namun sebuah pesan sikap dan doa. Kita perlu banyak suara sebagai bentuk perjuangan termasuk Suara Fandom #SaveRajaAmpat,1.94E+18,,SwaraFandom,in,,0,0,4,https://x.com/undefined/status/1936069536094339480,1.73E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:25:00 +0000 2025,1149,Politikus dan keluarga adat berada di balik bisnis tambang nikel Raja Ampat. Berencana membangun smelter di Sorong. #TempoPlus https://t.co/0esjhIjDd9,1.94E+18,,,in,,11,17,534,https://x.com/undefined/status/1936067766282293671,18129942,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:05:28 +0000 2025,0,semakin kuliat info tambang-tambang ini dan ditambah liat gus ulil tampil di sosmed makin kesel anjerrr... yg ngasih data pertambangan ke beliau tu siapa sii?? padahal bisa ngasih data pertumbuhan potensial di raja ampat dengan pertumbuhan ekonomi lokalnya dibanding tambang,1.94E+18,,,in,,0,1,0,https://x.com/undefined/status/1936062852122787905,1.55E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:05:00 +0000 2025,17,Penolakan masyarakat terhadap penambangan di Raja Ampat sudah berlangsung dua dekade. Mengapa mentok? #TempoPlus https://t.co/mY1dbKGsea,1.94E+18,,,in,,1,2,11,https://x.com/undefined/status/1936062733566214385,18129942,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:04:49 +0000 2025,0,Usai Lolos di Kasus Pagar Laut! Polri Jangan Ciut Periksa Aguan di Kasus Tambang Raja Ampat https://t.co/gTWbNPEtBw https://t.co/dBVorK3Er9,1.94E+18,https://pbs.twimg.com/media/Gt5Gv3ubMAAz_Zl.jpg,,in,,0,0,0,https://x.com/undefined/status/1936062688603607487,1.54E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 14:00:06 +0000 2025,1,Aku ingin kembali ke rumah Ayah Tapi nasib memanggilku Seekor kuda sembrani datang menculikku dari alam mimpi Membawaku terbang melintasi waktu dan dimensi kata-kata - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,1,https://x.com/undefined/status/1936061500923560181,1.87E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:58:27 +0000 2025,0,3. Tambang Ilegal Raja Ampat: Tambang ilegal disebut cemarkan lingkungan Raja Ampat sementara menteri ESDM Bahlil klaim tak ada kerusakan lingkungan akibat kegiatan tambang. Aktivis desak pemerintah cabut izin karena bertentangan dengan UU No. 1 Tahun 2014 tentang Pengelolaan https://t.co/RTGNtroxm1,1.94E+18,https://pbs.twimg.com/media/Gt5FSjtXcAAtJio.jpg,officialfgmedia,in,,1,1,0,https://x.com/undefined/status/1936061084085141691,1.81E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:58:16 +0000 2025,3,Presiden Prabowo batalkan 4 kebijakan menteri: Elpiji CASN Tambang Raja Ampat &amp; Sengketa 4 Pulau Aceh-Sumut. Kenapa harus tunggu ramai dulu baru dibatalkan? Dan di mana koordinasi antarkementerian? A thread https://t.co/qd3cw2493y,1.94E+18,https://pbs.twimg.com/media/Gt5FP9AbMAEvMZ2.jpg,,in,,0,1,0,https://x.com/undefined/status/1936061039155855802,1.81E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:50:01 +0000 2025,1,Raja Ampat dan Tambang Nikel: Akankah Alam atau Uang yang Menang? https://t.co/7JHReQFc8O,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936058963092816211,1632918924,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:39:43 +0000 2025,0,@pandji Percuma bobo di jakarta pules tapi raja Ampat rusak karena tambang,1.94E+18,,pandji,in,,0,0,0,https://x.com/undefined/status/1936056370014617827,85818848,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:38:20 +0000 2025,0,@intancindra17 Raja Ampat lebih baik tetap alami dukung terus langkah Pak Prabowo hentikan tambang nikel,1.94E+18,,intancindra17,in,,0,0,0,https://x.com/undefined/status/1936056022181048475,1.70E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:36:42 +0000 2025,495,Hai kawan-kawan makasih banyak buat support-nya! Biar makin seru kawal #SaveRajaAmpat MinPis mau undang kamu buat ngobrol langsung bareng Iqbal Damanik juru kampanye hutan Greenpeace Indonesia via WhatsApp. Langsung join di sini ya: https://t.co/O6vvASwQVI ,1.94E+18,,,in,,0,6,139,https://x.com/undefined/status/1936055609633521832,43074696,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:35:23 +0000 2025,25, SENATOR PAPUA: ADA ORANG KUAT DI BALIK TAMBANG NIKEL RAJA AMPAT- BACK ... https://t.co/jLHAyKzpx6 via @YouTube -- siepa orang kuat dibalik tambang nikel Raja ampat....,1.94E+18,,,in,,1,3,8,https://x.com/undefined/status/1936055279348764773,177496970,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:29:36 +0000 2025,3,@bachrum_achmadi Lagian survei buat apa dia juga bukan pejabat juga toh sekarang. Atau jangan-jangan... karena matahari kembar #JokowiAlumniPasarPramuka #SaveRajaAmpat,1.94E+18,,bachrum_achmadi,in,,0,0,1,https://x.com/undefined/status/1936053823895896157,1.60E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:26:42 +0000 2025,17,@DokterTifa Panjang umur perjuangan kalau keliatan ternak mulyono ciri-cirinya dari followingnya para setan semua akun baru bikin follower dikit LANGSUNG MUTE ya guys lagi nyari duit 400 perak buat makan #JokowiAlumniPasarPramuka #JokowiMusuhRakyat #SaveRajaAmpat,1.94E+18,,DokterTifa,in,,0,0,1,https://x.com/undefined/status/1936053096175878344,1.60E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:20:58 +0000 2025,0,@intancindra17 Pak Prabowo tahu banget cara jaga Indonesia Raja Ampat wajib bebas tambang nikel,1.94E+18,,intancindra17,in,,0,0,0,https://x.com/undefined/status/1936051651309457434,1.70E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:00:06 +0000 2025,1,Para dewapun tak jarang belajar dari manusia bahkan dibebaskan oleh manusia. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936046400808407544,1.89E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:00:06 +0000 2025,1,Barang siapa tidak tahu kekuatan dirinya tidak tahu kelemahan dirinya. Barang siapa tidak tahu kedua-duanya dia pusing dalam ketidaktahuannya. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936046399046717693,1.89E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 13:00:05 +0000 2025,1,Mana ada Jawa dan bupati pula bukan buaya darat? - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936046397390045646,1.89E+18,,rajaAmpat12.csv
1.90E+18,Fri Jun 20 12:49:35 +0000 2025,0,Indonesia Gelap! #GagalkanUUTNI #CabutUUTNI #TolakUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan #SupermasiSipil #PerempuanMelawan #SaveRajaAmpat #SavePapua,1.94E+18,,yunohihi,in,,0,2,0,https://x.com/undefined/status/1936043753720234262,1.63E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 12:37:36 +0000 2025,1,Anggota Komisi XII DPR RI Ratna Juwita Sari soroti kerusakan lingkungan akibat tambang nikel di Raja Ampat. Dia mendorong izin tiga perusahaan dicabut karena sudah terbukti merusak berdasarkan temuan KLHK. #RajaAmpat #TambangNikel https://t.co/5Y05md0F2i,1.94E+18,https://pbs.twimg.com/media/Gt4yyhKW4AAPtAK.jpg,,in,,0,0,0,https://x.com/undefined/status/1936040736446931252,8.99E+17,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 12:19:26 +0000 2025,6,@ApriliaLin Gaduh 4 Pulau di jadikan milik sumut lalu di kembalikan ke aceh Raja Ampat berakhir tambang di tutup pagar laut di cabut PPN 12 % akhirnya hanya buat barang mewah. Otaknya sama yaitu Nabi baru dan pemujanya https://t.co/N5abyp2xRJ,1.94E+18,https://pbs.twimg.com/ext_tw_video_thumb/1936036045562208257/pu/img/vNfXVSKtNvqmdzJR.jpg,ApriliaLin,in,,1,7,3,https://x.com/undefined/status/1936036165251219694,1.60E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 12:15:29 +0000 2025,1,Soal Tambang di Raja Ampat Didi Irawadi Tagih Keberanian APH Tegakkan Hukum Secara Adil via @kedaipenacom https://t.co/NVJmhtQoQ2,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1936035171628990764,7.94E+17,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 09:18:21 +0000 2025,0,farmasi lingkungan 9/10 soal uasnya sangat amat bisa dikerjakan plus makasi pak B yang kasih soal menginterpretasikan apakah regulasi lingkungan hanya upaya normatif apalagi setelah isu #SaveRajaAmpat jadi bertanya-tanya juga itu penambangan di pulau Gag susun AMDAL gimana ya,1.94E+18,,___efelin,in,,0,1,0,https://x.com/undefined/status/1935990594373079130,1.43E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 09:09:04 +0000 2025,0,nih belajar yang bener wowo https://t.co/P958Ap8AwH #SaveRajaAmpat,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1935988259102114034,1473783756,,rajaAmpat12.csv
